paper,paper_url,date,year,half_year,primary_level,capability_path,modalities,catalog_subsection,primary_mechanism,controller_type,visual_executor,feedback,evaluation_type,planning,retrieval,tool_use,multi_agent,verification,memory,rl,closed_loop,cross_task_persistence,github,website,open_source
DesignCoder: Hierarchy-Aware and Self-Correcting UI Code Generation with Large Language Models,https://arxiv.org/abs/2506.13663,2025-06,2025,2025-H1,L3,L1+L2+L3,UI,Rendered-feedback control for slides and user interfaces,Hierarchy-aware generation and vision-guided self-correction,language or multimodal controller,code generator and browser renderer,current-outcome feedback changes a later action,"trajectory, repair, and terminal-artifact evaluation",False,False,True,False,True,False,False,True,False,,,False
PreGenie: An Agentic Framework for High-quality Visual Presentation Generation,https://arxiv.org/abs/2505.21660,2025-05,2025,2025-H1,L3,L1+L2+L3,Slide,Rendered-feedback control for slides and user interfaces,Rendered-slide review and regeneration,language or multimodal controller,slide renderer or object model,current-outcome feedback changes a later action,"trajectory, repair, and terminal-artifact evaluation",False,False,True,False,True,False,False,True,False,,,False
PPTAgent: Generating and Evaluating Presentations Beyond Text-to-Slides,https://arxiv.org/abs/2501.03936,2025-01,2025,2025-H1,L3,L1+L2+L3,Slide,Rendered-feedback control for slides and user interfaces,Execution-feedback slide correction,language or multimodal controller,slide renderer or object model,current-outcome feedback changes a later action,"trajectory, repair, and terminal-artifact evaluation",False,False,True,False,True,False,False,True,False,https://github.com/icip-cas/PPTAgent,,True
AutoDesign: Meta-Harness Optimization for Long-Horizon Agentic Design,https://arxiv.org/abs/2608.13560,2026-08,2026,2026-H2,L4,L1+L2+L3+L4,Image,,Cross-task memory or skill evolution,language or multimodal controller,image generator,completed experience changes future-task control,chronological transfer and terminal-artifact evaluation,False,False,True,False,True,True,False,True,True,https://github.com/Yaxin9Luo/AutoDesign,https://autodesign.designanything.ai/,True
AVA-Encoder: Towards Agent-Native Video Representation Learning,https://arxiv.org/abs/2608.12313,2026-08,2026,2026-H2,L4,L1+L2+L3+L4,Video,,Self-evolving film-representation program,unified multimodal policy,video generator or editor,completed experience changes future-task control,chronological transfer and terminal-artifact evaluation,False,False,True,False,True,True,False,True,True,https://github.com/HBDYW/AVA-Encoder,https://ava-encoder.github.io/,True
GenRouter: Unified Workflow Routing for Agentic Image Generation,https://arxiv.org/abs/2608.16721,2026-08,2026,2026-H2,L4,L1+L2+L3+L4,Image,,Cross-task memory or skill evolution,unified multimodal policy,image generator,completed experience changes future-task control,chronological transfer and terminal-artifact evaluation,False,False,True,False,True,True,False,True,True,https://github.com/EnVision-Research/GenRouter,,True
Clarify Before Executing: A Self-Evolving Agent for Resolving Intent Asymmetry in 3D Tool Orchestration,https://arxiv.org/abs/2607.16352,2026-07,2026,2026-H2,L4,L1+L2+L3+L4,3D,,Clarification-policy evolution from completed interactions,language or multimodal controller,3D generator or scene engine,completed experience changes future-task control,chronological transfer and terminal-artifact evaluation,False,False,True,False,True,True,False,True,True,https://github.com/xyzhu1225/CLARE,https://huggingface.co/datasets/xyzhu1225/3D-Clarify,True
COMFYCLAW: Self-Evolving Skill Harnesses for Image Generation Workflows,https://arxiv.org/abs/2607.01709,2026-07,2026,2026-H2,L4,L1+L2+L3+L4,Image,,Cross-task memory or skill evolution,language or multimodal controller,image generator,completed experience changes future-task control,chronological transfer and terminal-artifact evaluation,False,False,True,False,True,True,False,True,True,https://github.com/Moms-Organic-Agent-Lab/comfyclaw,,True
SymbOmni: Evolving Agentic Omni Models via Symbolic Concept Learning,https://arxiv.org/abs/2607.12042,2026-07,2026,2026-H2,L4,L1+L2+L3+L4,Image,,Cross-task memory or skill evolution,language or multimodal controller,image generator,completed experience changes future-task control,chronological transfer and terminal-artifact evaluation,False,False,True,False,True,True,False,True,True,https://github.com/Sphere-AI-Lab/symbomni,http://spherelab.ai/symbomni,True
ManimAgent: Self-Evolving Multimodal Agents for Visual Education,https://arxiv.org/abs/2606.30296,2026-06,2026,2026-H1,L4,L1+L2+L3+L4,Image,,Cross-task memory or skill evolution,language or multimodal controller,image generator,completed experience changes future-task control,chronological transfer and terminal-artifact evaluation,False,False,True,False,True,True,False,True,True,,,False
MemoGen,https://arxiv.org/abs/2606.03243,2026-06,2026,2026-H1,L4,L1+L3+L4,Image,,Cross-task episodic experience,language or multimodal controller,image generator,completed experience changes future-task control,chronological transfer and terminal-artifact evaluation,False,False,False,False,True,True,False,True,True,https://github.com/Chatonz/MemoGen,,True
MemSlides: A Hierarchical Memory Driven Agent Framework for Personalized Slide Generation with Multi-turn Local Revision,https://arxiv.org/abs/2606.17162,2026-06,2026,2026-H1,L4,L1+L2+L3+L4,Slide,,Cross-task memory or skill evolution,language or multimodal controller,slide renderer or object model,completed experience changes future-task control,chronological transfer and terminal-artifact evaluation,False,False,True,False,True,True,False,True,True,https://github.com/huohua325/Memslides,https://memslides.com/,True
OctoT2I,https://arxiv.org/abs/2606.01803,2026-06,2026,2026-H1,L4,L1+L2+L3+L4,Image,,Evolving generator capability profiles,language or multimodal controller,image generator,completed experience changes future-task control,chronological transfer and terminal-artifact evaluation,False,False,True,False,True,True,False,True,True,https://github.com/JaxJiang2642081986/OctoT2I,,True
Self-Evolving Agentic Image Restoration via Deliberate Planning and Intuitive Execution,https://arxiv.org/abs/2606.28971,2026-06,2026,2026-H1,L4,L1+L2+L3+L4,Image;Editing,,Cross-task memory or skill evolution,language or multimodal controller,image generator; visual editor,completed experience changes future-task control,chronological transfer and terminal-artifact evaluation,True,False,True,False,True,True,False,True,True,,,False
VideoWeaver,https://arxiv.org/abs/2606.08091,2026-06,2026,2026-H1,L4,L1+L2+L3+L4,Video,,Evaluation and evolution of workflow skills,language or multimodal controller,video generator or editor,completed experience changes future-task control,chronological transfer and terminal-artifact evaluation,False,False,True,False,True,True,False,True,True,https://github.com/JianhuiWei7/VideoWeaver,,True
Action Agent: Agentic Video Generation Meets Flow-Constrained Diffusion,https://arxiv.org/abs/2605.01477,2026-05,2026,2026-H1,L4,L1+L2+L3+L4,Video,,Cross-task navigation-generation memory,language or multimodal controller,video generator or editor,completed experience changes future-task control,chronological transfer and terminal-artifact evaluation,False,False,True,False,True,True,False,True,True,,,False
GenEvolve,https://arxiv.org/abs/2605.21605,2026-05,2026,2026-H1,L4,L1+L2+L3+L4,Image;Editing,,Visual experience distillation into skills,language or multimodal controller,image generator; visual editor,completed experience changes future-task control,chronological transfer and terminal-artifact evaluation,False,False,True,False,True,True,False,True,True,https://github.com/MeiGen-AI/GenEvolve,https://ephemeral182.github.io/GenEvolve/,True
SimWorld Studio: Automatic Environment Generation with Evolving Coding Agent for Embodied Agent Learning,https://arxiv.org/abs/2605.09423,2026-05,2026,2026-H1,L4,L1+L2+L3+L4,World,,Cross-task memory or skill evolution,language or multimodal controller,world generator or simulator,completed experience changes future-task control,chronological transfer and terminal-artifact evaluation,False,False,True,False,True,True,False,True,True,,,False
EvoDiagram: Agentic Editable Diagram Creation via Design Expertise Evolution,https://arxiv.org/abs/2604.09568,2026-04,2026,2026-H1,L4,L1+L2+L3+L4,Image;Editing,,Cross-task memory or skill evolution,language or multimodal controller,image generator; visual editor,completed experience changes future-task control,chronological transfer and terminal-artifact evaluation,False,False,True,False,True,True,False,True,True,,,False
"Automatic Method Illustration Generation for AI Scientific Papers via Drawing Middleware Creation, Evolution, and Orchestration",https://arxiv.org/abs/2603.29590,2026-03,2026,2026-H1,L4,L1+L2+L3+L4,Image,,Reusable drawing-middleware evolution,language or multimodal controller,image generator,completed experience changes future-task control,chronological transfer and terminal-artifact evaluation,False,False,True,False,True,True,False,True,True,,,False
BrandFusion,https://arxiv.org/abs/2603.02816,2026-03,2026,2026-H1,L4,L1+L2+L4,Video,,User-feedback experience pool for later brand-integration strategies,language or multimodal controller,video generator or editor,completed experience changes future-task control,chronological transfer and terminal-artifact evaluation,False,False,True,False,True,True,False,False,True,,https://zihao-ai.github.io/brandfusion/,False
SPIRAL,https://arxiv.org/abs/2603.08403,2026-03,2026,2026-H1,L4,L1+L2+L3+L4,Video;World,,Critic-trajectory post-training,language or multimodal controller,video generator or editor; world generator or simulator,completed experience changes future-task control,chronological transfer and terminal-artifact evaluation,True,False,True,False,True,True,False,True,True,,https://yuyang-cloud.github.io/spiral/,False
SIDiffAgent,https://arxiv.org/abs/2602.02051,2026-02,2026,2026-H1,L4,L1+L3+L4,Image,,Self-improving generation behavior,language or multimodal controller,image generator,completed experience changes future-task control,chronological transfer and terminal-artifact evaluation,False,False,False,False,True,True,False,True,True,,,False
PerfGuard: A Performance-Aware Agent for Visual Content Generation,https://arxiv.org/abs/2601.22571,2026-01,2026,2026-H1,L4,L1+L2+L3+L4,Image,,Execution-ranked tool preference updates,language or multimodal controller,image generator,completed experience changes future-task control,chronological transfer and terminal-artifact evaluation,True,False,True,False,True,True,False,True,True,https://github.com/FelixChan9527/PerfGuard,,True
UniVA,https://arxiv.org/abs/2511.08521,2025-11,2025,2025-H2,L4,L1+L2+L3+L4,Video,,Persistent trajectory and user-preference memory for later workflows,language or multimodal controller,video generator or editor,completed experience changes future-task control,chronological transfer and terminal-artifact evaluation,True,False,True,False,True,True,False,True,True,https://github.com/univa-agent/univa,https://univa.online/,True
JarvisEvo: Towards a Self-Evolving Photo Editing Agent with Synergistic Editor-Evaluator Optimization,https://arxiv.org/abs/2511.23002,2025-11,2025,2025-H2,L4,L1+L2+L3+L4,Image;Editing,,Synergistic editor-evaluator evolution,language or multimodal controller,image generator; visual editor,completed experience changes future-task control,chronological transfer and terminal-artifact evaluation,False,False,True,False,True,True,False,True,True,,https://jarvisevo.vercel.app/,False
SceneCraft,https://arxiv.org/abs/2403.01248,2024-03,2024,2024-H1,L4,L1+L2+L3+L4,3D,,Cross-query spatial skill library,language or multimodal controller,3D generator or scene engine,completed experience changes future-task control,chronological transfer and terminal-artifact evaluation,False,False,True,False,True,True,False,True,True,,,False
DiffusionAgent,https://arxiv.org/abs/2401.10061,2024-01,2024,2024-H1,L4,L1+L2+L3+L4,Image,,Human-feedback-updated expert advantage database,language or multimodal controller,image generator,completed experience changes future-task control,chronological transfer and terminal-artifact evaluation,False,False,True,False,True,True,False,True,True,https://github.com/DiffusionAgent/DiffusionAgent,https://diffusionagent.github.io/,True
